MaxN

Generated: Sunday 25 September 2022 19:07:17

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	TapeReader	Depth	Comment	Date	Site	BRUVS.NO	TimeIN	TimeOUT	Bait	Lat	Long	Family	Genus	Species	Code	MaxN	Has fed
GP010089.MP4	  21355	  23.6556	inicio	  22.6059	T3C2_SJ2_2021-09-25	Sofia	13		2021-09-25	SanJose3	T3C2_SJ2_2021-09-25	07:53	09:37	yes	10,86148	-85,91844	Acanthuridae	Acanthurus	xanthopterus	Acaxantho	13	No
GOPR0089.MP4	  52385	  14.5659	inicio	  13.5163	T3C2_SJ2_2021-09-25	Sofia	13		2021-09-25	SanJose3	T3C2_SJ2_2021-09-25	07:53	09:37	yes	10,86148	-85,91844	Balistidae	Balistes	polylepis	Balpolyle	1	No
GOPR0089.MP4	  16887	   4.6955	inicio	   3.6459	T3C2_SJ2_2021-09-25	Sofia	13		2021-09-25	SanJose3	T3C2_SJ2_2021-09-25	07:53	09:37	yes	10,86148	-85,91844	Balistidae	Sufflamen	verres	Sufverres	2	No
GP030089.MP4	  30113	  61.5262	inicio	  60.4765	T3C2_SJ2_2021-09-25	Sofia	13		2021-09-25	SanJose3	T3C2_SJ2_2021-09-25	07:53	09:37	yes	10,86148	-85,91844	Carangidae	Elagatis	bipinnulata	Elabipinn	1	No
GOPR0089.MP4	   4574	   1.2718	inicio	   0.2222	T3C2_SJ2_2021-09-25	Sofia	13		2021-09-25	SanJose3	T3C2_SJ2_2021-09-25	07:53	09:37	yes	10,86148	-85,91844	Chaetodontidae	Johnrandallia	nigrirostris	Johnigrir	2	No
GP010089.MP4	   6907	  19.6382	inicio	  18.5886	T3C2_SJ2_2021-09-25	Sofia	13		2021-09-25	SanJose3	T3C2_SJ2_2021-09-25	07:53	09:37	yes	10,86148	-85,91844	Cheloniidae	Chelonia	mydas	Chemydas	1	No
GP010089.MP4	  48272	  31.1400	inicio	  30.0903	T3C2_SJ2_2021-09-25	Sofia	13		2021-09-25	SanJose3	T3C2_SJ2_2021-09-25	07:53	09:37	yes	10,86148	-85,91844	Diodontidae	Diodon	hystrix	Diohystri	1	No
GOPR0089.MP4	  54515	  15.1582	inicio	  14.1085	T3C2_SJ2_2021-09-25	Sofia	13		2021-09-25	SanJose3	T3C2_SJ2_2021-09-25	07:53	09:37	yes	10,86148	-85,91844	Fistulariidae	Fistularia	commersonii	Fiscommer	1	No
GP010089.MP4	  33349	  26.9906	inicio	  25.9409	T3C2_SJ2_2021-09-25	Sofia	13		2021-09-25	SanJose3	T3C2_SJ2_2021-09-25	07:53	09:37	yes	10,86148	-85,91844	Ginglymostomatidae	Ginglymostoma	unami	Ginunami	1	No
GOPR0089.MP4	  35581	   9.8935	inicio	   8.8438	T3C2_SJ2_2021-09-25	Sofia	13		2021-09-25	SanJose3	T3C2_SJ2_2021-09-25	07:53	09:37	yes	10,86148	-85,91844	Haemulidae	Haemulon	maculicauda	Haemaculi	150	No
